,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,symbol,name,area,industry,list_date,证券代码,证券名称,一级行业代码,一级行业名称,二级行业代码,二级行业名称,三级行业代码,三级行业名称,四级行业代码,四级行业名称,个股静态市盈率,个股滚动市盈率,个股市净率,个股股息率,is_up
482,001324.SZ,20250620,18.38,18.71,17.77,17.85,18.11,-0.26,-1.4357,35738.54,64829.735,001324,长青科技,江苏,运输设备,20230522,001324,长青科技,20,工业,2040,机械制造,204030,交通运输设备,20403010,城轨铁路,41.80,42.66,2.24,0.94,False
483,001326.SZ,20250620,32.05,32.63,32.05,32.12,32.17,-0.05,-0.1554,4934.7,15922.376,001326,联域股份,深圳,电气设备,20231109,001326,联域股份,45,信息技术,4520,电子,452030,光学光电子,45203020,LED,23.73,32.95,1.94,2.92,False
484,001328.SZ,20250620,47.4,48.4,47.1,47.49,47.47,0.02,0.0421,14712.5,70187.194,001328,登康口腔,重庆,日用化工,20230410,001328,登康口腔,30,主要消费,3030,家庭与个人用品,303010,家庭用品,30301010,家庭用品,56.38,54.41,6.07,1.23,True
485,001330.SZ,20250620,4.81,4.95,4.7,4.71,4.88,-0.17,-3.4836,277326.0,132257.055,001330,博纳影业,新疆,影视音像,20220818,001330,博纳影业,50,通信服务,5030,传媒,503020,文化娱乐,50302010,影视动漫,-,-,1.46,-,False
486,001331.SZ,20250620,10.4,10.62,10.05,10.3,10.66,-0.36,-3.3771,206438.4,212505.193,001331,胜通能源,山东,公路,20220908,001331,胜通能源,10,能源,1010,能源,101020,石油与天然气,10102040,油气流通及其他,-,-,1.83,0.61,False
487,001332.SZ,20250620,35.3,35.61,34.9,34.91,35.3,-0.39,-1.1048,7491.75,26299.949,001332,锡装股份,江苏,专用机械,20220920,001332,锡装股份,20,工业,2040,机械制造,204020,专用机械,20402080,其他专用机械,15.83,15.40,1.66,4.06,False
488,001333.SZ,20250620,19.68,19.96,19.48,19.58,19.68,-0.1,-0.5081,15502.03,30517.994,001333,光华股份,浙江,化工原料,20221208,001333,光华股份,15,原材料,1510,化工,151040,化学制品,15104020,涂料油墨,17.50,17.62,1.50,1.80,False
489,001335.SZ,20250620,36.37,37.77,36.37,37.26,36.31,0.95,2.6164,21006.36,78168.718,001335,信凯科技,浙江,化工原料,20250415,001335,信凯科技,20,工业,2060,商业服务与用品,206010,商业服务与用品,20601040,贸易商,32.27,30.77,5.20,-,True
490,001336.SZ,20250620,19.79,19.87,19.16,19.38,19.69,-0.31,-1.5744,14669.0,28601.972,001336,楚环科技,浙江,专用机械,20220725,001336,楚环科技,20,工业,2050,环保,205010,污染治理,20501030,烟气治理,58.69,71.90,2.12,0.62,False
491,001337.SZ,20250620,24.47,24.52,24.06,24.3,24.67,-0.37,-1.4998,93017.0,225648.175,001337,四川黄金,四川,黄金,20230303,001337,四川黄金,15,原材料,1520,有色金属,152020,贵金属,15202010,黄金,44.40,41.23,7.07,1.33,False
492,001338.SZ,20250620,11.59,11.77,11.57,11.64,11.59,0.05,0.4314,91392.59,106823.494,001338,永顺泰,广东,啤酒,20221116,001338,永顺泰,30,主要消费,3010,食品、饮料与烟草,301010,酒,30101020,啤酒,20.43,21.21,1.66,0.86,True
493,001339.SZ,20250620,45.45,45.79,44.5,44.52,45.66,-1.14,-2.4967,36879.31,165768.882,001339,智微智能,深圳,IT设备,20220815,001339,智微智能,45,信息技术,4520,电子,452010,电子终端及组件,45201010,电脑与外围设备,92.28,74.78,5.37,0.35,False
494,001356.SZ,20250620,14.1,14.27,14.1,14.17,14.12,0.05,0.3541,39010.31,55271.078,001356,富岭股份,浙江,塑料,20250123,001356,富岭股份,25,可选消费,2520,耐用消费品,252020,家居,25202020,其他家居,39.36,43.02,4.26,-,True
495,001358.SZ,20250620,22.8,22.95,22.49,22.65,22.72,-0.07,-0.3081,6894.16,15615.407,001358,兴欣新材,浙江,化工原料,20231221,001358,兴欣新材,15,原材料,1510,化工,151040,化学制品,15104080,其他化学制品,36.71,39.00,2.04,2.03,False
496,001359.SZ,20250620,28.12,28.28,27.78,27.78,28.12,-0.34,-1.2091,10490.09,29359.088,001359,平安电工,湖北,矿物制品,20240328,001359,平安电工,20,工业,2030,电力设备,203020,电网设备,20302040,线缆及其他,24.39,23.35,2.80,0.94,False
497,001360.SZ,20250620,13.32,13.53,13.3,13.32,13.32,0.0,0.0,11711.0,15658.804,001360,南矿集团,江西,工程机械,20230410,001360,南矿集团,20,工业,2040,机械制造,204020,专用机械,20402020,采矿冶金机械,47.30,43.84,1.99,1.08,False
498,001366.SZ,20250620,11.41,11.61,11.34,11.56,11.48,0.08,0.6969,20571.0,23693.044,001366,播恩集团,江西,饲料,20230307,001366,播恩集团,30,主要消费,3020,农牧渔,302020,养殖,30202010,饲料,-,-,2.33,-,True
499,001367.SZ,20250620,21.16,21.4,21.02,21.3,21.15,0.15,0.7092,23238.33,49303.598,001367,海森药业,浙江,化学制药,20230410,001367,海森药业,35,医药卫生,3520,医药,352020,化学药,35202010,原料药,28.46,28.98,2.53,1.47,True
500,001368.SZ,20250620,22.0,22.21,21.6,21.66,22.1,-0.44,-1.991,14590.0,31829.516,001368,通达创智,福建,文教休闲,20230313,001368,通达创智,25,可选消费,2520,耐用消费品,252030,休闲设备与用品,25203010,休闲设备与用品,25.29,26.16,1.87,3.50,False
501,001373.SZ,20250620,28.37,28.57,27.8,28.42,28.16,0.26,0.9233,8790.0,24756.716,001373,翔腾新材,江苏,元器件,20230601,001373,翔腾新材,45,信息技术,4520,电子,452030,光学光电子,45203010,面板,158.77,301.60,2.18,0.85,True
502,001376.SZ,20250620,11.66,11.73,11.6,11.61,11.66,-0.05,-0.4288,25729.0,29993.624,001376,百通能源,江西,供气供热,20231103,001376,百通能源,55,公用事业,5510,公用事业,551050,供热及其他,55105010,供热及其他,29.28,29.11,4.91,1.23,False
503,001378.SZ,20250620,21.35,21.66,21.22,21.24,21.35,-0.11,-0.5152,8291.79,17742.201,001378,德冠新材,广东,塑料,20231030,001378,德冠新材,15,原材料,1510,化工,151050,塑料,15105030,膜材料,31.15,32.56,1.51,0.92,False
504,001379.SZ,20250620,19.57,19.9,19.48,19.56,19.69,-0.13,-0.6602,17316.0,34014.749,001379,腾达科技,山东,机械基件,20240119,001379,腾达科技,20,工业,2040,机械制造,204010,通用机械,20401070,其他通用机械,54.23,54.25,2.81,0.25,False
505,001380.SZ,20250620,19.4,19.6,19.2,19.51,19.46,0.05,0.2569,23821.54,46271.731,001380,华纬科技,浙江,汽车配件,20230516,001380,华纬科技,25,可选消费,2510,乘用车及零部件,251010,汽车零部件与轮胎,25101010,汽车系统部件,23.21,21.04,3.00,1.04,True
506,001382.SZ,20250620,19.99,20.34,19.98,20.09,19.99,0.1,0.5003,28621.0,57596.063,001382,新亚电缆,广东,电气设备,20250321,001382,新亚电缆,20,工业,2030,电力设备,203020,电网设备,20302040,线缆及其他,64.48,64.01,5.28,-,True
507,001387.SZ,20250620,13.05,13.3,13.01,13.05,13.14,-0.09,-0.6849,19328.2,25342.212,001387,雪祺电气,安徽,家用电器,20240111,001387,雪祺电气,25,可选消费,2520,耐用消费品,252010,家用电器,25201010,白色家电,23.62,23.28,1.96,2.58,False
508,001389.SZ,20250620,58.97,59.83,56.01,56.1,58.95,-2.85,-4.8346,138683.87,795687.935,001389,广合科技,广东,元器件,20240402,001389,广合科技,45,信息技术,4520,电子,452020,电子元件,45202010,印制电路板,35.99,31.55,7.31,1.27,False
509,001390.SZ,20250620,22.18,22.36,22.0,22.04,22.15,-0.11,-0.4966,30224.65,66957.938,001390,古麒绒材,安徽,纺织,20250529,001390,古麒绒材,25,可选消费,2530,纺织服装与珠宝,253010,纺织服装,25301010,纺织品,27.11,26.49,4.79,-,False
510,001391.SZ,20250620,6.66,6.71,6.65,6.71,6.66,0.05,0.7508,220429.69,147202.44,001391,国货航,北京,仓储物流,20241230,001391,国货航,20,工业,2070,交通运输,207010,运输业,20701030,航空运输,43.07,36.99,3.28,-,True
511,001395.SZ,20250620,47.82,50.71,47.78,49.98,48.02,1.96,4.0816,55306.04,275229.486,001395,亚联机械,吉林,专用机械,20250127,001395,亚联机械,20,工业,2040,机械制造,204020,专用机械,20402080,其他专用机械,26.29,19.60,3.62,-,True
512,001400.SZ,20250620,57.43,57.75,55.95,56.19,57.43,-1.24,-2.1592,15503.27,87857.1,001400,江顺科技,江苏,专用机械,20250424,001400,江顺科技,20,工业,2040,机械制造,204010,通用机械,20401010,加工机械,23.46,23.18,4.83,-,False
513,001696.SZ,20250620,20.38,20.54,20.21,20.3,20.4,-0.1,-0.4902,140083.73,285103.661,001696,宗申动力,重庆,摩托车,19970306,001696,宗申动力,20,工业,2040,机械制造,204010,通用机械,20401020,动力机械,52.76,42.90,4.67,1.18,False
514,001872.SZ,20250620,20.59,20.85,20.46,20.6,20.55,0.05,0.2433,30918.0,63765.543,001872,招商港口,深圳,港口,19930505,001872,招商港口,20,工业,2070,交通运输,207020,交通基本设施,20702020,港口,11.31,11.18,0.82,2.84,True
515,001896.SZ,20250620,4.41,4.49,4.29,4.3,4.43,-0.13,-2.9345,460848.95,201017.708,001896,豫能控股,河南,火力发电,19980122,001896,豫能控股,55,公用事业,5510,公用事业,551010,电力及电网,55101010,火电,-,-,2.46,-,False
516,001914.SZ,20250620,11.21,11.46,11.15,11.27,11.18,0.09,0.805,63411.0,71883.969,001914,招商积余,深圳,房产服务,19940928,001914,招商积余,60,房地产,6010,房地产,601020,房地产管理与服务,60102010,房地产管理,14.62,14.14,1.16,1.47,True
517,001965.SZ,20250620,12.08,12.13,12.0,12.06,12.08,-0.02,-0.1656,113570.78,136921.097,001965,招商公路,天津,路桥,20171225,001965,招商公路,20,工业,2070,交通运输,207020,交通基本设施,20702040,高速公路,15.70,15.59,1.15,4.33,False
518,001979.SZ,20250620,8.52,8.57,8.45,8.53,8.51,0.02,0.235,412463.25,350961.199,001979,招商蛇口,深圳,全国地产,20151230,001979,招商蛇口,60,房地产,6010,房地产,601010,房地产开发与园区,60101010,房地产开发,19.09,18.57,0.71,3.76,True
519,002001.SZ,20250620,21.56,21.72,21.52,21.7,21.61,0.09,0.4165,103527.7,224279.544,002001,新和成,浙江,化学制药,20040625,002001,新和成,35,医药卫生,3520,医药,352020,化学药,35202010,原料药,11.51,9.82,2.20,3.19,True
520,002003.SZ,20250620,10.96,11.08,10.89,10.97,11.03,-0.06,-0.544,28664.47,31489.158,002003,伟星股份,浙江,服饰,20040625,002003,伟星股份,25,可选消费,2530,纺织服装与珠宝,253010,纺织服装,25301020,服装,18.89,18.31,2.96,4.42,False
521,002004.SZ,20250620,4.08,4.1,4.07,4.08,4.09,-0.01,-0.2445,123085.11,50265.679,002004,华邦健康,重庆,农药化肥,20040625,002004,华邦健康,15,原材料,1510,化工,151010,农用化工,15101040,农药,-,-,0.87,5.23,False
522,002005.SZ,20250620,1.94,2.04,1.93,2.04,1.94,0.1,5.1546,255670.01,51601.745,002005,ST德豪,安徽,家用电器,20040625,002005,ST德豪,25,可选消费,2520,耐用消费品,252010,家用电器,25201030,小家电,-,-,18.16,-,True
523,002006.SZ,20250620,16.01,16.22,15.81,15.82,16.09,-0.27,-1.6781,68867.0,109665.823,002006,精工科技,浙江,专用机械,20040625,002006,精工科技,20,工业,2040,机械制造,204020,专用机械,20402030,化工机械,56.74,62.58,3.51,0.81,False
524,002007.SZ,20250620,15.51,15.57,15.46,15.51,15.5,0.01,0.0645,74657.4,115867.959,002007,华兰生物,河南,生物制药,20040625,002007,华兰生物,35,医药卫生,3520,医药,352010,生物药品,35201010,血液制品,27.08,25.86,2.42,1.86,True
525,002008.SZ,20250620,23.36,23.46,23.04,23.26,23.38,-0.12,-0.5133,119607.21,277507.354,002008,大族激光,深圳,专用机械,20040625,002008,大族激光,20,工业,2040,机械制造,204020,专用机械,20402080,其他专用机械,14.31,27.90,1.49,1.49,False
526,002009.SZ,20250620,14.44,14.59,14.19,14.2,14.44,-0.24,-1.662,89900.0,128844.954,002009,天奇股份,江苏,工程机械,20040629,002009,天奇股份,20,工业,2040,机械制造,204020,专用机械,20402080,其他专用机械,-,-,2.93,0.14,False
527,002010.SZ,20250620,5.26,5.33,5.23,5.29,5.27,0.02,0.3795,212654.98,112115.619,002010,传化智联,浙江,仓储物流,20040629,002010,传化智联,20,工业,2070,交通运输,207010,运输业,20701020,物流综合,100.37,85.26,0.85,1.82,True
528,002011.SZ,20250620,11.1,11.24,11.05,11.08,11.1,-0.02,-0.1802,56843.57,63322.627,002011,盾安环境,浙江,家用电器,20040705,002011,盾安环境,20,工业,2040,机械制造,204010,通用机械,20401070,其他通用机械,11.47,11.37,2.09,-,False
529,002012.SZ,20250620,5.44,5.5,5.35,5.39,5.44,-0.05,-0.9191,87044.02,47238.842,002012,凯恩股份,浙江,造纸,20040705,002012,凯恩股份,15,原材料,1550,造纸与包装,155020,纸类与林业产品,15502020,纸制品,461.86,561.29,1.73,0.07,False
530,002014.SZ,20250620,11.74,11.9,11.7,11.88,11.74,0.14,1.1925,16876.8,19973.049,002014,永新股份,安徽,塑料,20040708,002014,永新股份,15,原材料,1550,造纸与包装,155010,容器与包装,15501010,金属、玻璃与塑料包装,15.83,15.75,2.76,5.13,True
531,002015.SZ,20250620,11.28,11.45,10.68,10.68,11.87,-1.19,-10.0253,2217718.41,2420295.006,002015,协鑫能科,江苏,新型电力,20040708,002015,协鑫能科,55,公用事业,5510,公用事业,551010,电力及电网,55101010,火电,32.33,28.49,1.32,1.30,False
532,002016.SZ,20250620,5.35,5.44,5.31,5.37,5.36,0.01,0.1866,65194.0,35011.853,002016,世荣兆业,广东,区域地产,20040708,002016,世荣兆业,60,房地产,6010,房地产,601010,房地产开发与园区,60101010,房地产开发,118.29,139.98,0.92,0.48,True
533,002017.SZ,20250620,16.6,17.26,15.31,15.64,17.01,-1.37,-8.0541,1866303.07,2937217.277,002017,东信和平,广东,通信设备,20040713,002017,东信和平,50,通信服务,5020,通信设备及技术服务,502010,通信设备,50201010,通信终端设备及组件,36.88,36.26,3.90,1.24,False
534,002019.SZ,20250620,13.25,13.37,13.11,13.15,13.28,-0.13,-0.9789,149224.48,197520.712,002019,亿帆医药,浙江,化学制药,20040713,002019,亿帆医药,35,医药卫生,3520,医药,352020,化学药,35202020,药品制剂,46.14,45.31,2.05,1.37,False
